Serial2,F05_01,F05_01_ENG,F05_02,F05_02 ENG,F05_03,F05_04,F12,F13,F15,F15 ENG,F16,F16 ENG,F20,F21,F30,F30 ENG,F31_01,F31_01_ENG,F31_02,F31_02_ENG,F31_03,F31_03_ENG,F31_04,F31_04_ENG,F31_05,F31_05_ENG,F31_06,F31_06_ENG,F31_07,F31_07_ENG,F31_08,F31_08_ENG,F32,F33,hFerienDauer,hGruppePersonen,F80,F80_a05,F81_01,F81_02,F81_03,F81_04,F81_05,F81_06,F81_Total,F82_01,F82_02,F82_03,F82_04,F82_05,F82_06,F82_07,F82_Total,F83,F85,F105,F105A,F105_Code,F105_Code_nr,F105_OrgCode,F125,F125_ENG,F125_a11,F125_a11 ENG,F130,F130_a07,F135_01,F12_F13_Mittelwert_2Cat_final
20782,Europa,Europe,Spanien,Spain,Catalunya,,07.09.2023,16.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),7,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,10,2,CHF,,1200,32,100,0,45,400,1777,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,Ohne Kategorie,,1,Summer
20791,Europa,Europe,Österreich,Austria,Steiermark,,08.09.2023,17.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),5,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,10,2,€,,800,300,500,100,0,0,1700,,,,,,,,,,Ja,Nyon,,Nyon,313,Nyon Région Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,Ohne Kategorie,,1,Summer
20803,Europa,Europe,Schweiz,Switzerland,Zürich,,07.09.2023,09.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,6,,3,6,CHF,,1030,30,300,0,50,400,1810,,,,,,,,,,Ja,Yverdon-les-Bains,,Yverdon-les-Bains,695,Yverdon-les-Bains Région,Hotel / Kurhaus,Hotel / Spa House,,,****,,3,Summer
20808,Europa,Europe,Spanien,Spain,Comunidad Autónoma de Galicia,,03.09.2023,10.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,8,2,CHF,,1700,700,500,50,0,0,2950,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,Hotel sin desayuno,Hotel without breakfast,,,2,Summer
20810,Europa,Europe,Schweiz,Switzerland,Bern,,18.08.2023,21.08.2023,Sommer,Summer,Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz,Round trip through Europe: only one overnight stay in Switzerland,,21,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,4,3,CHF,,400,50,200,0,0,0,650,,,,,,,,,,Ja,Le Chenit,,Le Chenit,756,Vallée de Joux,Campingplatz,Campsite,,,,,3,Summer
20814,Europa,Europe,Schweiz,Switzerland,Thurgau,,13.09.2023,21.09.2023,Herbst,Autumn,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),9,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,9,2,CHF,,1300,50,900,0,150,40,2440,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,Ohne Kategorie,,1,Summer
20816,Europa,Europe,Schweiz,Switzerland,Thurgau,,13.09.2023,21.09.2023,Herbst,Autumn,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),6,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,9,2,CHF,,1300,50,700,7,400,0,2457,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,**,,1,Summer
20842,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,Wyoming,,02.09.2023,13.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),4,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,12,2,CHF,,3000,500,1500,1000,300,0,6300,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,2,Summer
20865,Europa,Europe,Frankreich,France,Île-de-France,,24.08.2023,06.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,14,3,CHF,,3000,0,3500,0,0,0,6500,,,,,,,,,,Ja,Yverdon-les-Bains,,Yverdon-les-Bains,695,Yverdon-les-Bains Région,Serviced Apartments / Chalets / Villas (Service während Aufenthalt),Serviced Apartments / Chalets / Villas (service during stay),,,,,14,Summer
20882,Europa,Europe,Frankreich,France,Occitanie,,02.09.2023,04.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,€,,220,200,100,0,0,0,520,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,2,Summer
20908,Europa,Europe,Frankreich,France,Provence-Alpes-Côte d'Azur,,08.08.2023,16.08.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,9,2,CHF,,0,50,350,0,0,100,500,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,9,Summer
20917,Nord- und Mittelamerika,North and Central America,Kanada,Canada,Colombie-Britannique,,25.07.2023,23.08.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,6,,30,6,Andere,$CDN,0,1000,600,1000,400,1000,4000,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,30,Summer
20924,Europa,Europe,Schweiz,Switzerland,Bern,,04.08.2023,12.08.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,5,,9,5,CHF,,2200,50,1200,0,0,450,3900,,,,,,,,,,Ja,Yverdon-les-Bains,,Yverdon-les-Bains,695,Yverdon-les-Bains Région,Hotel / Kurhaus,Hotel / Spa House,,,****,,9,Summer
20925,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Coventry (West Midlands district),11.09.2023,23.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,13,2,£,,500,400,500,50,0,0,1450,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Serviced Apartments / Chalets / Villas (Service während Aufenthalt),Serviced Apartments / Chalets / Villas (service during stay),,,,,13,Summer
20933,Nord- und Mittelamerika,North and Central America,Kanada,Canada,Colombie-Britannique,,29.08.2023,18.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),8,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,21,1,$,,0,500,70,30,0,60,660,,,,,,,,,,Ja,Yverdon-les-Bains,,Yverdon-les-Bains,695,Yverdon-les-Bains Région,Andere,Other,my grandparents house,my grandparents house,,,10,Summer
20960,Europa,Europe,Frankreich,France,Île-de-France,,22.08.2023,24.08.2023,Sommer,Summer,Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz,Round trip through Europe: only one overnight stay in Switzerland,,6,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,CHF,,0,200,350,0,0,70,620,,,,,,,,,,Ja,Nyon,,Nyon,313,Nyon Région Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,2,Summer
20974,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Swindon,01.09.2023,07.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,7,2,CHF,,340,100,50,10,13,88,601,,,,,,,,,,Ja,La Tour-de-Peilz,,La Tour-de-Peilz,288,Montreux Riviera,Gemietete Wohnung / Haus,Rented apartment / house,,,,,7,Summer
20980,Europa,Europe,Schweiz,Switzerland,Zürich,,11.09.2023,24.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),10,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,14,2,CHF,,4000,40,2000,0,0,0,6040,,,,,,,,,,Ja,Nyon,,Nyon,313,Nyon Région Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,1,Summer
20982,Europa,Europe,Schweiz,Switzerland,St. Gallen,,15.09.2023,17.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,3,1,CHF,,80,70,100,0,0,70,320,,,,,,,,,,Ja,Nyon,,Nyon,313,Nyon Région Tourisme,,#N/A,,,,,,Summer
21014,Asien,Asia,Südkorea (ROK),South Korea (ROK),Seoul Special City,,10.09.2023,16.09.2023,Sommer,Summer,Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz,Round trip through Europe: only one overnight stay in Switzerland,,12,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,7,1,€,,1800,0,350,100,1500,500,4250,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,7,Summer
21021,Europa,Europe,Schweiz,Switzerland,Zürich,,14.09.2023,19.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,6,2,CHF,,750,50,150,0,0,0,950,,,,,,,,,,Ja,Chexbres,,Chexbres,286,Montreux Riviera,Gemietete Wohnung / Haus,Rented apartment / house,,,,,6,Summer
21024,Europa,Europe,Italien,Italy,Regione Autonoma Friuli-Venezia Giulia,,11.09.2023,18.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),5,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,8,1,€,,500,389,400,50,0,0,1339,,,,,,,,,,Ja,Losanna,,Lausanne,253,Lausanne Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,1,Summer
21026,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Essex,03.09.2023,17.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,15,2,CHF,,1500,500,500,0,300,0,2800,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,4,Summer
21030,Europa,Europe,Schweiz,Switzerland,Waadt,,16.08.2023,21.08.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,6,4,CHF,,1500,3000,500,0,0,500,5500,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Andere,Other,maison privee,,,,2,Summer
21037,Europa,Europe,Litauen,Lithuania,,,18.08.2023,28.08.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,18,,11,18,€,,300,100,300,100,0,100,900,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Serviced Apartments / Chalets / Villas (Service während Aufenthalt),Serviced Apartments / Chalets / Villas (service during stay),,,,,11,Summer
21073,Europa,Europe,Schweiz,Switzerland,Bern,,08.09.2023,09.09.2023,Herbst,Autumn,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,2,2,CHF,,0,0,80,0,0,10,90,,,,,,,,,,Ja,Le Pont,,Le Pont,#N/A,Vallée de Joux,Campingplatz,Campsite,,,,,2,Summer
21095,Europa,Europe,Schweiz,Switzerland,Schwyz,,07.09.2023,10.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,CHF,,900,25,400,0,0,0,1325,,,,,,,,,,Ja,Le Chenit,,Le Chenit,756,Vallée de Joux,Hotel / Kurhaus,Hotel / Spa House,,,"Andere Klassifikation, nämlich:",4 sterne superior,4,Summer
21101,Europa,Europe,Schweiz,Switzerland,Zürich,,14.09.2023,19.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),5,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,6,2,CHF,,750,14,350,40,0,0,1154,,,,,,,,,,Ja,Chexbres,,Chexbres,286,Montreux Riviera,Gemietete Wohnung / Haus,Rented apartment / house,,,,,5,Summer
21108,Europa,Europe,Deutschland,Germany,Bayern,,10.09.2023,19.09.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),3,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,10,2,€,,1300,30,400,150,100,50,2030,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Hotel / Kurhaus,Hotel / Spa House,,,***,,5,Summer
21109,Europa,Europe,Deutschland,Germany,Bayern,,07.08.2023,12.08.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,7,,6,7,€,,0,0,300,0,0,200,500,,,,,,,,,,Ja,Corsier-sur-Vevey,,Corsier-sur-Vevey,813,Montreux Riviera,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,6,Summer
21115,Europa,Europe,Schweiz,Switzerland,Aargau,,11.09.2023,21.09.2023,Herbst,Autumn,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),7,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,2,,11,2,CHF,,1000,200,300,0,50,100,1650,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Campingplatz,Campsite,,,,,2,Summer
21129,Europa,Europe,Schweiz,Switzerland,Waadt,,09.09.2023,12.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,CHF,,160,0,300,0,30,0,490,,,,,,,,,,Ja,Yverdon-les-Bains,,Yverdon-les-Bains,695,Yverdon-les-Bains Région,Campingplatz,Campsite,,,,,4,Summer
21132,Europa,Europe,Schweiz,Switzerland,Schwyz,,21.08.2023,24.08.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,CHF,,700,100,200,0,0,0,1000,,,,,,,,,,Ja,Chernex,,Chernex,#N/A,Montreux Riviera,Bed & Breakfast,Bed & Breakfast,,,,,4,Summer
21160,Europa,Europe,Frankreich,France,Nouvelle-Aquitaine,,05.09.2023,08.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,€,,450,200,200,100,0,0,950,,,,,,,,,,Ja,Nyon,,Nyon,313,Nyon Région Tourisme,Andere,Other,La Cure,The Cure,,,4,Summer
21177,Europa,Europe,Schweiz,Switzerland,Zürich,,09.09.2023,11.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,3,3,CHF,,650,0,800,0,0,0,1450,,,,,,,,,,Ja,Montreux,,Montreux,289,Montreux Riviera,Hotel / Kurhaus,Hotel / Spa House,,,****,,3,Summer
21208,Europa,Europe,Frankreich,France,Provence-Alpes-Côte d'Azur,,22.08.2023,26.08.2023,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,5,2,CHF,,650,0,200,0,0,14,864,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,**,,3,Summer
21210,Asien,Asia,China,China,Shanghai,,07.09.2023,11.09.2023,Herbst,Autumn,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,4,11,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,5,3,CHF,,0,0,0,0,0,0,0,,,,,,,,,,Ja,Lausanne (??),,Lausanne,253,Lausanne Tourisme,Andere,Other,????,Reka,,,0,Summer
21225,Europa,Europe,Niederlande,Netherlands,Noord Holland,,10.09.2023,17.09.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,8,1,€,,1500,50,800,0,500,350,3200,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,8,Summer
21229,Europa,Europe,Österreich,Austria,Wien,,18.08.2023,28.08.2023,Sommer,Summer,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,11,1,€,,0,100,250,0,100,0,450,,,,,,,,,,Ja,Aubonne,,Aubonne,294,Morges Région,Agrotourismus (Übernachtung auf einem Bauernhof),Agritourism (overnight stay on a farm),,,,,11,Summer
